Date,Open,High,Low,Close,Adj Close,Volume
2020-01-09,76.809998,77.607498,76.550003,77.407501,76.630219,170108400
2020-01-10,77.650002,78.167503,77.062500,77.582497,76.803459,140644800
2020-01-13,77.910004,79.267502,77.787498,79.239998,78.444321,121532000
2020-01-14,79.175003,79.392502,78.042503,78.169998,77.385063,161954400
2020-01-15,77.962502,78.875000,77.387497,77.834999,77.053429,121923600
2020-01-16,78.397499,78.925003,78.022499,78.809998,78.018631,108829200
2020-01-17,79.067497,79.684998,78.750000,79.682503,78.882370,137816400
2020-01-21,79.297501,79.754997,79.000000,79.142502,78.347801,110843200
2020-01-22,79.644997,79.997498,79.327499,79.425003,78.627464,101832400
2020-01-23,79.480003,79.889999,78.912498,79.807503,79.006119,104472000
2020-01-24,80.062500,80.832497,79.379997,79.577499,78.778435,146537600
2020-01-27,77.514999,77.942497,76.220001,77.237503,76.461929,161940000
2020-01-28,78.150002,79.599998,78.047501,79.422501,78.624992,162234000
2020-01-29,81.112503,81.962502,80.345001,81.084999,80.270790,216229200
2020-01-30,80.135002,81.022499,79.687500,80.967499,80.154472,126743200
2020-01-31,80.232498,80.669998,77.072502,77.377502,76.600517,199588400
2020-02-03,76.074997,78.372498,75.555000,77.165001,76.390160,173985600
2020-02-04,78.827499,79.910004,78.407501,79.712502,78.912079,136616400
2020-02-05,80.879997,81.190002,79.737503,80.362503,79.555550,118826800
2020-02-06,80.642502,81.305000,80.065002,81.302498,80.486107,105425600
2020-02-07,80.592499,80.849998,79.500000,80.007500,79.392090,117684000
2020-02-10,78.544998,80.387497,78.462502,80.387497,79.769165,109348800
2020-02-11,80.900002,80.974998,79.677498,79.902496,79.287888,94323200
2020-02-12,80.367500,81.805000,80.367500,81.800003,81.170799,113730400
2020-02-13,81.047501,81.555000,80.837502,81.217499,80.592773,94747600
2020-02-14,81.184998,81.495003,80.712502,81.237503,80.612625,80113600
2020-02-18,78.839996,79.937500,78.652496,79.750000,79.136566,152531200
2020-02-19,80.000000,81.142502,80.000000,80.904999,80.282684,93984000
2020-02-20,80.657501,81.162498,79.552498,80.074997,79.459068,100566000
2020-02-21,79.654999,80.112503,77.625000,78.262497,77.660507,129554000
2020-02-24,74.315002,76.044998,72.307503,74.544998,73.971603,222195200
2020-02-25,75.237503,75.632500,71.532501,72.019997,71.466019,230673600
2020-02-26,71.632500,74.470001,71.625000,73.162498,72.599739,198054800
2020-02-27,70.275002,71.500000,68.239998,68.379997,67.854019,320605600
2020-02-28,64.315002,69.602501,64.092499,68.339996,67.814331,426884800
2020-03-02,70.570000,75.360001,69.430000,74.702499,74.127892,341397200
2020-03-03,75.917503,76.000000,71.449997,72.330002,71.773636,319475600
2020-03-04,74.110001,75.849998,73.282501,75.684998,75.102829,219178400
2020-03-05,73.879997,74.887497,72.852501,73.230003,72.666725,187572800
2020-03-06,70.500000,72.705002,70.307503,72.257500,71.701706,226176800
2020-03-09,65.937500,69.522499,65.750000,66.542503,66.030655,286744800
2020-03-10,69.285004,71.610001,67.342499,71.334999,70.786301,285290000
2020-03-11,69.347504,70.305000,67.964996,68.857498,68.327858,255598800
2020-03-12,63.985001,67.500000,62.000000,62.057499,61.580158,418474000
2020-03-13,66.222504,69.980003,63.237499,69.492500,68.957970,370732000
2020-03-16,60.487499,64.769997,60.000000,60.552502,60.086731,322423600
2020-03-17,61.877499,64.402496,59.599998,63.215000,62.728752,324056000
2020-03-18,59.942501,62.500000,59.279999,61.667500,61.193157,300233600
2020-03-19,61.847500,63.209999,60.652500,61.195000,60.724293,271857200
2020-03-20,61.794998,62.957500,57.000000,57.310001,56.869179,401693200
2020-03-23,57.020000,57.125000,53.152500,56.092499,55.661041,336752800
2020-03-24,59.090000,61.922501,58.575001,61.720001,61.245258,287531200
2020-03-25,62.687500,64.562500,61.075001,61.380001,60.907871,303602000
2020-03-26,61.630001,64.669998,61.590000,64.610001,64.113029,252087200
2020-03-27,63.187500,63.967499,61.762501,61.935001,61.458603,204216800
2020-03-30,62.685001,63.880001,62.349998,63.702499,63.212502,167976400
2020-03-31,63.900002,65.622498,63.000000,63.572498,63.083504,197002000
2020-04-01,61.625000,62.180000,59.782501,60.227501,59.764240,176218400
2020-04-02,60.084999,61.287498,59.224998,61.232498,60.761501,165934000
2020-04-03,60.700001,61.424999,59.742500,60.352501,59.888275,129880000
2020-04-06,62.724998,65.777496,62.345001,65.617500,65.112770,201820400
2020-04-07,67.699997,67.925003,64.750000,64.857498,64.358627,202887200
2020-04-08,65.684998,66.842499,65.307503,66.517502,66.005852,168895200
2020-04-09,67.175003,67.517502,66.175003,66.997498,66.482155,162116400
2020-04-13,67.077499,68.425003,66.457497,68.312500,67.787041,131022800
2020-04-14,70.000000,72.062500,69.512497,71.762497,71.210495,194994800
2020-04-15,70.599998,71.582497,70.157501,71.107498,70.560539,131154400
2020-04-16,71.845001,72.050003,70.587502,71.672501,71.121201,157125200
2020-04-17,71.172501,71.737503,69.214996,70.699997,70.156174,215250000
2020-04-20,69.487503,70.419998,69.212502,69.232498,68.699974,130015200
2020-04-21,69.070000,69.312500,66.357498,67.092499,66.576424,180991600
2020-04-22,68.402496,69.474998,68.050003,69.025002,68.494064,117057200
2020-04-23,68.967499,70.437500,68.717499,68.757500,68.228622,124814400
2020-04-24,69.300003,70.752502,69.250000,70.742500,70.198349,126508800
2020-04-27,70.449997,71.135002,69.987503,70.792503,70.247971,117087600
2020-04-28,71.269997,71.457497,69.550003,69.644997,69.109299,112004800
2020-04-29,71.182503,72.417503,70.972504,71.932503,71.379196,137280800
2020-04-30,72.489998,73.632500,72.087502,73.449997,72.885025,183064000
2020-05-01,71.562500,74.750000,71.462502,72.267502,71.711632,240616800
2020-05-04,72.292503,73.422501,71.580002,73.290001,72.726265,133568000
2020-05-05,73.764999,75.250000,73.614998,74.389999,73.817802,147751200
2020-05-06,75.114998,75.809998,74.717499,75.157501,74.579391,142333600
2020-05-07,75.805000,76.292503,75.492500,75.934998,75.350914,115215200
2020-05-08,76.410004,77.587502,76.072502,77.532501,77.144394,134048000
2020-05-11,77.025002,79.262497,76.809998,78.752502,78.358284,145946400
2020-05-12,79.457497,79.922501,77.727501,77.852501,77.462791,162301200
2020-05-13,78.037498,78.987503,75.802498,76.912498,76.527496,200622400
2020-05-14,76.127502,77.447502,75.382500,77.385002,76.997635,158929200
2020-05-15,75.087502,76.974998,75.052498,76.927498,76.542412,166348400
2020-05-18,78.292503,79.125000,77.580002,78.739998,78.345848,135372400
2020-05-19,78.757500,79.629997,78.252502,78.285004,77.893127,101729600
2020-05-20,79.169998,79.879997,79.129997,79.807503,79.408005,111504800
2020-05-21,79.665001,80.222504,78.967499,79.212502,78.815979,102688800
2020-05-22,78.942497,79.807503,78.837502,79.722504,79.323433,81803200
2020-05-26,80.875000,81.059998,79.125000,79.182503,78.786133,125522000
2020-05-27,79.035004,79.677498,78.272499,79.527496,79.129402,112945200
2020-05-28,79.192497,80.860001,78.907501,79.562500,79.164230,133560800
2020-05-29,79.812500,80.287498,79.117500,79.485001,79.087120,153598000
2020-06-01,79.437500,80.587502,79.302498,80.462502,80.059723,80791200
2020-06-02,80.187500,80.860001,79.732498,80.834999,80.430351,87642800
2020-06-03,81.165001,81.550003,80.574997,81.279999,80.873131,104491200
2020-06-04,81.097504,81.404999,80.195000,80.580002,80.176636,87560400
2020-06-05,80.837502,82.937500,80.807503,82.875000,82.460152,137250400
2020-06-08,82.562500,83.400002,81.830002,83.364998,82.947685,95654400
2020-06-09,83.035004,86.402496,83.002502,85.997498,85.567009,147712400
2020-06-10,86.974998,88.692497,86.522499,88.209999,87.768440,166651600
2020-06-11,87.327499,87.764999,83.870003,83.974998,83.554642,201662400
2020-06-12,86.180000,86.949997,83.555000,84.699997,84.276009,200146000
2020-06-15,83.312500,86.419998,83.144997,85.747498,85.318260,138808800
2020-06-16,87.864998,88.300003,86.180000,88.019997,87.579391,165428800
2020-06-17,88.787498,88.849998,87.772499,87.897499,87.457504,114406400
2020-06-18,87.852501,88.362503,87.305000,87.932503,87.492332,96820400
2020-06-19,88.660004,89.139999,86.287498,87.430000,86.992348,264476000
2020-06-22,87.834999,89.864998,87.787498,89.717499,89.268394,135445200
2020-06-23,91.000000,93.095001,90.567497,91.632500,91.173805,212155600
2020-06-24,91.250000,92.197502,89.629997,90.014999,89.564407,192623200
2020-06-25,90.175003,91.250000,89.392502,91.209999,90.753426,137522400
2020-06-26,91.102501,91.330002,88.254997,88.407501,87.964951,205256800
2020-06-29,88.312500,90.542503,87.820000,90.445000,89.992256,130646000
2020-06-30,90.019997,91.495003,90.000000,91.199997,90.743469,140223200
2020-07-01,91.279999,91.839996,90.977501,91.027496,90.571838,110737200
2020-07-02,91.962502,92.617500,90.910004,91.027496,90.571838,114041600
2020-07-06,92.500000,93.945000,92.467499,93.462502,92.994652,118655600
2020-07-07,93.852501,94.654999,93.057503,93.172501,92.706093,112424400
2020-07-08,94.180000,95.375000,94.089996,95.342499,94.865234,117092000
2020-07-09,96.262497,96.317497,94.672501,95.752502,95.273193,125642800
2020-07-10,95.334999,95.980003,94.705002,95.919998,95.439842,90257200
2020-07-13,97.264999,99.955002,95.257500,95.477501,94.999557,191649200
2020-07-14,94.839996,97.254997,93.877502,97.057503,96.571655,170989200
2020-07-15,98.989998,99.247498,96.489998,97.724998,97.235809,153198000
2020-07-16,96.562500,97.404999,95.904999,96.522499,96.039330,110577600
2020-07-17,96.987503,97.147499,95.839996,96.327499,95.845299,92186800
2020-07-20,96.417503,98.500000,96.062500,98.357498,97.865143,90318000
2020-07-21,99.172501,99.250000,96.742500,97.000000,96.514442,103646000
2020-07-22,96.692497,97.974998,96.602501,97.272499,96.785568,89001600
2020-07-23,96.997498,97.077499,92.010002,92.845001,92.380234,197004400
2020-07-24,90.987503,92.970001,89.144997,92.614998,92.151382,185438800
2020-07-27,93.709999,94.904999,93.480003,94.809998,94.335396,121214000
2020-07-28,94.367500,94.550003,93.247498,93.252502,92.785706,103625600
2020-07-29,93.750000,95.230003,93.712502,95.040001,94.564247,90329200
2020-07-30,94.187500,96.297501,93.767502,96.190002,95.708496,158130000
2020-07-31,102.885002,106.415001,100.824997,106.260002,105.728088,374336800
2020-08-03,108.199997,111.637497,107.892502,108.937500,108.392181,308151200
2020-08-04,109.132500,110.790001,108.387497,109.665001,109.116043,173071600
2020-08-05,109.377502,110.392502,108.897499,110.062500,109.511551,121992000
2020-08-06,110.404999,114.412498,109.797501,113.902496,113.332329,202428800
2020-08-07,113.205002,113.675003,110.292503,111.112503,110.755638,198045600
2020-08-10,112.599998,113.775002,110.000000,112.727501,112.365448,212403600
2020-08-11,111.970001,112.482498,109.107498,109.375000,109.023705,187902400
2020-08-12,110.497498,113.275002,110.297501,113.010002,112.647041,165944800
2020-08-13,114.430000,116.042503,113.927498,115.010002,114.640610,210082000
2020-08-14,114.830002,115.000000,113.044998,114.907501,114.538445,165565200
2020-08-17,116.062500,116.087502,113.962502,114.607498,114.239403,119561600
2020-08-18,114.352501,116.000000,114.007500,115.562500,115.191338,105633600
2020-08-19,115.982498,117.162498,115.610001,115.707497,115.335869,145538000
2020-08-20,115.750000,118.392502,115.732498,118.275002,117.895126,126907200
2020-08-21,119.262497,124.867500,119.250000,124.370003,123.970551,338054800
2020-08-24,128.697495,128.785004,123.937500,125.857498,125.453270,345937600
2020-08-25,124.697502,125.180000,123.052498,124.824997,124.424088,211495600
2020-08-26,126.180000,126.992500,125.082497,126.522499,126.116135,163022400
2020-08-27,127.142502,127.485001,123.832497,125.010002,124.608498,155552400
2020-08-28,126.012497,126.442497,124.577499,124.807503,124.406647,187630000
2020-08-31,127.580002,131.000000,126.000000,129.039993,128.625549,225702700
2020-09-01,132.759995,134.800003,130.529999,134.179993,133.749039,152470100
2020-09-02,137.589996,137.979996,127.000000,131.399994,130.977966,200119000
2020-09-03,126.910004,128.839996,120.500000,120.879997,120.491753,257599600
2020-09-04,120.070000,123.699997,110.889999,120.959999,120.571503,332607200
2020-09-08,113.949997,118.989998,112.680000,112.820000,112.457649,231366600
2020-09-09,117.260002,119.139999,115.260002,117.320000,116.943192,176940500
2020-09-10,120.360001,120.500000,112.500000,113.489998,113.125496,182274400
2020-09-11,114.570000,115.230003,110.000000,112.000000,111.640282,180860300
2020-09-14,114.720001,115.930000,112.800003,115.360001,114.989487,140150100
2020-09-15,118.330002,118.830002,113.610001,115.540001,115.168915,184642000
2020-09-16,115.230003,116.000000,112.040001,112.129997,111.769859,154679000
2020-09-17,109.720001,112.199997,108.709999,110.339996,109.985611,178011000
2020-09-18,110.400002,110.879997,106.089996,106.839996,106.496849,287104900
2020-09-21,104.540001,110.190002,103.099998,110.080002,109.726448,195713800
2020-09-22,112.680000,112.860001,109.160004,111.809998,111.450882,183055400
2020-09-23,111.620003,112.110001,106.769997,107.120003,106.775963,150718700
2020-09-24,105.169998,110.250000,105.000000,108.220001,107.872421,167743300
2020-09-25,108.430000,112.440002,107.669998,112.279999,111.919373,149981400
2020-09-28,115.010002,115.320000,112.779999,114.959999,114.590767,137672400
2020-09-29,114.550003,115.309998,113.570000,114.089996,113.723564,99382200
2020-09-30,113.790001,117.260002,113.620003,115.809998,115.438042,142675200
2020-10-01,117.639999,117.720001,115.830002,116.790001,116.414894,116120400
2020-10-02,112.889999,115.370003,112.220001,113.019997,112.657005,144712000
2020-10-05,113.910004,116.650002,113.550003,116.500000,116.125824,106243800
2020-10-06,115.699997,116.120003,112.250000,113.160004,112.796555,161498200
2020-10-07,114.620003,115.550003,114.129997,115.080002,114.710388,96849000
2020-10-08,116.250000,116.400002,114.589996,114.970001,114.600739,83477200
2020-10-09,115.279999,117.000000,114.919998,116.970001,116.594315,100506900
2020-10-12,120.059998,125.180000,119.279999,124.400002,124.000458,240226800
2020-10-13,125.269997,125.389999,119.650002,121.099998,120.711044,262330500
2020-10-14,121.000000,123.029999,119.620003,121.190002,120.800766,151062300
2020-10-15,118.720001,121.199997,118.150002,120.709999,120.322304,112559200
2020-10-16,121.279999,121.550003,118.809998,119.019997,118.637726,115393800
2020-10-19,119.959999,120.419998,115.660004,115.980003,115.607498,120639300
2020-10-20,116.199997,118.980003,115.629997,117.510002,117.132591,124423700
2020-10-21,116.669998,118.709999,116.449997,116.870003,116.494644,89946000
2020-10-22,117.449997,118.040001,114.589996,115.750000,115.378235,101988000
2020-10-23,116.389999,116.550003,114.279999,115.040001,114.670517,82572600
2020-10-26,114.010002,116.550003,112.879997,115.050003,114.680489,111850700
2020-10-27,115.489998,117.279999,114.540001,116.599998,116.225510,92276800
2020-10-28,115.050003,115.430000,111.099998,111.199997,110.842850,143937800
2020-10-29,112.370003,116.930000,112.199997,115.320000,114.949615,146129200
